Existence of commercial and service activities by type - self employment,Existence of commercial and service activities by type - public sector,Existence of commercial and service activities by type - banking institutions,Existence of commercial and service activities by type - service institutions,Existence of commercial and service activities by type - commerce,Town,refArea,Total number of commercial institutions by size - number of small institutions,Total number of commercial institutions by size - number of medium-sized institutions,Total number of commercial institutions by size - number of large-sized institutions,Total number of service institutions,Total number of non banking financial institutions,Observation URI,publisher,dataset,references
1,0,0,0,1,Batloun,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Batloun,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Batoulay,http://dbpedia.org/resource/Tyre_District,10,1,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Batoulay,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Batroumine,https://dbpedia.org/page/North_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Batroumine,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,1,1,1,1,Batroun,http://dbpedia.org/resource/Batroun_District,60,20,10,3,2,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Batroun,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Bayzoun,http://dbpedia.org/resource/Byblos_District,2,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bayzoun,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Bazaaoun,http://dbpedia.org/resource/Bsharri_District,7,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bazaaoun,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Bazouriyeh,http://dbpedia.org/resource/Tyre_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bazouriyeh,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Bchamoun,http://dbpedia.org/resource/Aley_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bchamoun,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Bchannine,http://dbpedia.org/resource/Zgharta_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bchannine,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,1,1,0,1,Bcharreh,http://dbpedia.org/resource/Bsharri_District,2,3,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bcharreh,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Bcheaali,http://dbpedia.org/resource/Batroun_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bcheaali,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,1,0,0,1,Bchtfine,https://dbpedia.org/page/Mount_Lebanon_Governorate,9,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bchtfine,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Bdadoun,http://dbpedia.org/resource/Aley_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bdadoun,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Bdebba,https://dbpedia.org/page/North_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bdebba,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,1,0,0,0,Bebnine,https://dbpedia.org/page/Akkar_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bebnine,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,1,0,0,Bechmizzine,https://dbpedia.org/page/North_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bechmizzine,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Bechouat,https://dbpedia.org/page/Baalbek-Hermel_Governorate,1,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bechouat,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Bechtoudar,http://dbpedia.org/resource/Batroun_District,1,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bechtoudar,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Beddaoui,"http://dbpedia.org/resource/Tripoli_District,_Lebanon",0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Beddaoui,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,1,0,0,0,Bedghan Oua Ouadi Bedghan,http://dbpedia.org/resource/Aley_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bedghan+Oua+Ouadi+Bedghan,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Bedias,http://dbpedia.org/resource/Tyre_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bedias,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Bednayel El-Koura,https://dbpedia.org/page/North_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bednayel+El-Koura,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Behdaydat,http://dbpedia.org/resource/Byblos_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Behdaydat,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,1,0,Behnine,https://dbpedia.org/page/South_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Behnine,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,1,0,0,0,Behouaita,http://dbpedia.org/resource/MiniyehâDanniyeh_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Behouaita,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Beino,https://dbpedia.org/page/Akkar_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Beino,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Beit Ayoub,https://dbpedia.org/page/Akkar_Governorate,10,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Beit+Ayoub,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Beit Chama,https://dbpedia.org/page/Baalbek-Hermel_Governorate,25,2,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Beit+Chama,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Beit Chlala,http://dbpedia.org/resource/Batroun_District,2,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Beit+Chlala,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,1,0,0,0,Beit Ed-Dine,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Beit+Ed-Dine,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Beit El Haj,https://dbpedia.org/page/Akkar_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Beit+El+Haj,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,1,0,Beit El-Faqs,http://dbpedia.org/resource/MiniyehâDanniyeh_District,0,0,0,3,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Beit+El-Faqs,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Beit El-Haouch,https://dbpedia.org/page/Akkar_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Beit+El-Haouch,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,1,1,1,Beit El-Kekko,http://dbpedia.org/resource/Matn_District,500,2,1,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Beit+El-Kekko,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,1,0,0,1,Beit Haouik,http://dbpedia.org/resource/MiniyehâDanniyeh_District,4,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Beit+Haouik,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Beit Hbaq,http://dbpedia.org/resource/Byblos_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Beit+Hbaq,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Beit Kassab,http://dbpedia.org/resource/Batroun_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Beit+Kassab,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Beit Lahia,https://dbpedia.org/page/Beqaa_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Beit+Lahia,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Beit Lif,http://dbpedia.org/resource/Bint_Jbeil_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Beit+Lif,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,1,0,0,1,Beit Mellat,https://dbpedia.org/page/Akkar_Governorate,25,1,1,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Beit+Mellat,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Beit Meri,http://dbpedia.org/resource/Matn_District,50,10,5,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Beit+Meri,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Beit Monzer,http://dbpedia.org/resource/Bsharri_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Beit+Monzer,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Beit Obeid,http://dbpedia.org/resource/Zgharta_District,100,5,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Beit+Obeid,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Beit Yahoun,http://dbpedia.org/resource/Bint_Jbeil_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Beit+Yahoun,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,1,0,0,0,Beit Younes,https://dbpedia.org/page/Akkar_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Beit+Younes,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,1,0,Bejjeh,http://dbpedia.org/resource/Byblos_District,0,0,0,2,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bejjeh,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,1,0,0,0,Bekhaaz,http://dbpedia.org/resource/Byblos_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bekhaaz,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Benouati Jezzine,https://dbpedia.org/page/South_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Benouati+Jezzine,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,1,1,0,1,Bent Jbeil,http://dbpedia.org/resource/Bint_Jbeil_District,200,15,0,0,8,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bent+Jbeil,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Beqaata Aachqout,http://dbpedia.org/resource/Keserwan_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Beqaata+Aachqout,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Beqaata Kanaan,http://dbpedia.org/resource/Keserwan_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Beqaata+Kanaan,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,1,0,0,0,Berbara Aakkar,https://dbpedia.org/page/Akkar_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Berbara+Aakkar,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,1,0,0,1,Berbara Jbeil,http://dbpedia.org/resource/Byblos_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Berbara+Jbeil,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Berhalioun,http://dbpedia.org/resource/Bsharri_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Berhalioun,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Berti,http://dbpedia.org/resource/Sidon_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Berti,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Beslouqit,http://dbpedia.org/resource/Zgharta_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Beslouqit,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Besri Jezzine,https://dbpedia.org/page/South_Governorate,1,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Besri+Jezzine,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Bestiyat,http://dbpedia.org/resource/Tyre_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bestiyat,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Bezbina,https://dbpedia.org/page/Akkar_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bezbina,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Bhamdoun Ed-Dayaa,http://dbpedia.org/resource/Aley_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bhamdoun+Ed-Dayaa,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,1,1,1,1,Bhamdoun El-Mhatta,http://dbpedia.org/resource/Aley_District,25,0,0,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bhamdoun+El-Mhatta,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Bhersaf,http://dbpedia.org/resource/Matn_District,0,2,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bhersaf,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Bichtlida,http://dbpedia.org/resource/Byblos_District,1,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bichtlida,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Bijdarfil,http://dbpedia.org/resource/Batroun_District,12,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bijdarfil,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,1,1,1,1,Bikfaya,http://dbpedia.org/resource/Matn_District,4,2,2,0,2,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bikfaya,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Binnay,http://dbpedia.org/resource/Aley_District,10,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Binnay,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Bintaael,http://dbpedia.org/resource/Byblos_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bintaael,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Biret Aakkar,https://dbpedia.org/page/Akkar_Governorate,6,0,0,0,2,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Biret+Aakkar,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,1,1,0,Biret Rachaya,https://dbpedia.org/page/Beqaa_Governorate,0,0,0,70,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Biret+Rachaya,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,1,0,0,0,Bisrin,http://dbpedia.org/resource/Aley_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bisrin,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,1,0,1,1,Bissariyeh,http://dbpedia.org/resource/Sidon_District,200,10,0,10,5,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bissariyeh,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Biyad,http://dbpedia.org/resource/Tyre_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Biyad,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Bizhel,http://dbpedia.org/resource/Keserwan_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bizhel,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Bkassine,https://dbpedia.org/page/South_Governorate,3,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bkassine,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Bkeftine,https://dbpedia.org/page/North_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bkeftine,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,1,0,0,1,Bkhichtay,http://dbpedia.org/resource/Aley_District,7,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bkhichtay,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,1,0,Blaouza,http://dbpedia.org/resource/Bsharri_District,0,0,0,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Blaouza,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Blat Marjaayoun,http://dbpedia.org/resource/Marjeyoun_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Blat+Marjaayoun,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,1,0,0,1,Blaybel,http://dbpedia.org/resource/Aley_District,11,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Blaybel,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Blida,http://dbpedia.org/resource/Marjeyoun_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Blida,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Bmahray,http://dbpedia.org/resource/Aley_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bmahray,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Bmakine,http://dbpedia.org/resource/Aley_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bmakine,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,1,0,0,1,Bmaryam,http://dbpedia.org/resource/Baabda_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bmaryam,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Bnaafoul,http://dbpedia.org/resource/Sidon_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bnaafoul,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Bnabil,http://dbpedia.org/resource/Matn_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bnabil,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
